식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1인(회)분량 참고량,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D220-748000000-1038,커피_카페 라떼 아이스(ICED) (M),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,28,,1.30,,,,2.08,,,,,,21,,,,,,,,,,0.95,,3,식품의약품안전처,,591g,아임일리터,2,수집,2023-06-30,2025-12-29,1471000,식품의약품안전처
D220-748110000-0081,커피_카페 라떼 아이스(ICED) (ML),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,21,,0.99,,,1.69,1.69,,,,,,14,,,,,,,,,,0.70,,3,식품의약품안전처,,710ml,더리터,2,수집,2025-01-17,2025-12-29,1471000,식품의약품안전처
D220-748000000-0459,커피_카페 라떼 아이스(ICED) (Max),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,30,,1.35,,,,1.69,,,,,,1,,,,,,,,,,0.76,,3,식품의약품안전처,,591g,투썸플레이스,2,수집,2022-07-12,2025-12-29,1471000,식품의약품안전처
D220-748110000-0082,커피_카페 라떼 아이스(ICED) (Mini Venti),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,30,,1.23,,,,1.93,,,,,,19,,,,,,,,,,0.88,,3,식품의약품안전처,,570ml,커피에반하다,2,수집,2024-12-24,2025-12-29,1471000,식품의약품안전처
D220-748110000-0084,커피_카페 라떼 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,27,,1.64,,,,1.52,,,,,,17,,,,,,,,,,0.94,,3,식품의약품안전처,,415ml,드롭탑,2,수집,2025-02-25,2025-12-29,1471000,식품의약품안전처
D220-748110000-0083,커피_카페 라떼 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100ml,23,,1.06,,,,1.27,,,,,,8,,,,,,,,,,0.63,,3,식품의약품안전처,,473ml,스무디킹,2,수집,2025-01-22,2025-12-29,1471000,식품의약품안전처
D220-748110000-0085,커피_카페 라떼 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074811,카페라떼,207481100,해당없음,00,해당없음,100g,30,,1.62,,,,1.89,,,,,,23,,,,,,,,,,1.08,,3,식품의약품안전처,,370g,파스쿠찌,2,수집,2024-12-17,2025-12-29,1471000,식품의약품안전처
D220-748000000-1040,커피_카페 라떼 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,58,,1.97,,,,3.66,,,,,,29,,,,,,,,,,2.25,,3,식품의약품안전처,,355g,달콤,2,수집,2023-06-30,2025-12-29,1471000,식품의약품안전처
D220-748000000-1042,커피_카페 라떼 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,33,,1.30,,,,2.13,,,,,,22,,,,,,,,,,0.85,,3,식품의약품안전처,,400g,커피:니,2,수집,2023-09-19,2025-12-29,1471000,식품의약품안전처
D220-748000000-0435,커피_카페 라떼 아이스(ICED) (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,20,음료 및 차류,20748,커피,2074800,해당없음,207480000,해당없음,00,해당없음,100g,24,,1.67,,,,1.67,,,,,,21,,,,,,,,,,0.22,,3,식품의약품안전처,,360g,카페베네,2,수집,2022-07-05,2025-12-29,1471000,식품의약품안전처
